Date,Close,High,Low,Open,Volume,Return,MA50,MA20,Volatility,Momentum,Future_5D_Return,Future_10D_Return,Future_5D_Label,Future_10D_Label,Regime,MA_Diff,Strategy_Return,Market_Cumulative,Strategy_Cumulative,RSI,MACD,MACD_Signal,Signal,Position,Cumulative_Strategy,Cumulative_Market
2024-03-13,5165.31005859375,5179.14013671875,5151.8798828125,5173.490234375,4282890000,-0.0019245297153407392,4946.491201171875,5083.6904296875,0.008070136986063148,95.55029296875,0.011482381100254235,0.016103617176447926,Up,Up,Bull,137.19922851562478,,0.9980754702846593,0.9980754702846593,,0.0,0.0,0,,,0.9980754702846593
2024-03-14,5150.47998046875,5176.85009765625,5123.2998046875,5175.14013671875,4687970000,-0.0028710915621273925,4954.64419921875,5091.183422851563,0.007377578352720246,54.2099609375,0.017677926141402844,0.020167075220443254,Up,Up,Bull,136.53922363281254,-0.0,0.9952099042235586,0.9952099042235586,,-1.183026175213854,-0.2366052350427708,0,0.0,1.0,0.9952099042235586
2024-03-15,5117.08984375,5136.85986328125,5104.35009765625,5123.31005859375,7753670000,-0.006482917484461503,4962.889794921875,5095.551416015625,0.007372868213886723,-19.990234375,0.022882211492585736,0.024756293059027934,Up,Up,Bull,132.66162109375,-0.0,0.9887580405347585,0.9887580405347585,,-4.760017404865721,-1.1412876690073608,0,0.0,1.0,0.9887580405347585
2024-03-18,5149.419921875,5175.60009765625,5145.47021484375,5154.77001953125,4036220000,0.006318059504952345,4972.10458984375,5102.743920898438,0.007389476700183966,18.4697265625,0.013354906100998098,0.010950774567675348,Up,Up,Bull,130.63933105468823,0.0,0.9950050726708571,0.9950050726708571,,-4.9292206271884424,-1.8988742606435771,0,0.0,1.0,0.9950050726708571
2024-03-19,5178.509765625,5180.31005859375,5131.58984375,5139.08984375,4031760000,0.0056491496501236416,4981.72998046875,5112.8939208984375,0.007320378291864089,99.85986328125,0.004841221439113141,0.006368718075791646,Flat,Flat,Bull,131.1639404296875,0.0,1.000626005229007,1.000626005229007,,-2.685056463739784,-2.0561107012628184,0,0.0,1.0,1.000626005229007
2024-03-20,5224.6201171875,5226.18994140625,5171.5498046875,5181.68994140625,4064850000,0.008904173912846591,4990.95158203125,5125.034936523438,0.007264184824783292,119.8603515625,0.004568775652984636,-0.014816418134467435,Flat,Down,Bull,134.08335449218794,0.0,1.009535753201283,1.009535753201283,,2.7821093896882303,-1.0884666830726086,0,0.0,1.0,1.009535753201283
2024-03-21,5241.52978515625,5261.10009765625,5240.66015625,5253.43017578125,4207730000,0.0032365354015160275,5000.652177734375,5132.759936523437,0.007262138742623631,84.169921875,0.0024459104546741273,-0.007095245649766269,Flat,Flat,Bull,132.10775878906225,0.0,1.012803151405615,1.012803151405615,,8.382715871907749,0.8057698279234629,0,0.0,1.0,1.012803151405615
2024-03-22,5234.18017578125,5246.08984375,5229.8701171875,5242.47998046875,3374700000,-0.0014021878490156903,5009.66677734375,5140.028955078125,0.005902058767611418,110.490234375,0.0018321577454234461,-0.0060735469538465425,Flat,Flat,Bull,130.3621777343751,-0.0,1.0113830111332693,1.0113830111332693,,12.088832272541367,3.062382316847044,0,0.0,1.0,1.0113830111332693
2024-03-25,5218.18994140625,5229.08984375,5216.08984375,5219.52001953125,3331360000,-0.0030549644525015296,5018.425771484375,5147.461962890625,0.005977905179862165,100.25,-0.002372447716834869,-0.001586715939669081,Flat,Flat,Bull,129.0361914062496,-0.0,1.0082932719863933,1.0082932719863933,,13.579146000701257,5.165735053617887,0,0.0,1.0,1.0082932719863933
2024-03-26,5203.580078125,5235.16015625,5203.419921875,5228.85009765625,3871790000,-0.002799795225030266,5026.820771484375,5153.731958007813,0.005940391104624418,28.31005859375,0.0015201373153173048,-0.008251999731254789,Flat,Flat,Bull,126.91118652343812,-0.0,1.0054702572980556,1.0054702572980556,,13.426563434793024,6.817900729852915,0,0.0,1.0,1.0054702572980556
